gene,null_model,alt_model,species,p,branch
SDHAF3,bsA1,bsA,35,1,Haplorhine
SDHAF4,bsA1,bsA,12,0.996615,Human
SDHAF4,bsA1,bsA,41,1,Homo-Pan
SDHAF4,bsA1,bsA,34,0.038103,Primate
SDHAF4,bsA1,bsA,39,1,Great Ape
SDHAF4,bsA1,bsA,35,1,Haplorhine
SDHB,bsA1,bsA,12,1,Human
SDHB,bsA1,bsA,41,1,Homo-Pan
SDHB,bsA1,bsA,34,1,Primate
SDHB,bsA1,bsA,39,0.358056,Great Ape
SDHB,bsA1,bsA,35,0.998872,Haplorhine
SDHC,bsA1,bsA,12,1,Human
SDHC,bsA1,bsA,41,1,Homo-Pan
SDHC,bsA1,bsA,34,1,Primate
SDHC,bsA1,bsA,39,1,Great Ape
SDHC,bsA1,bsA,35,1,Haplorhine
SDHD,bsA1,bsA,12,1,Human
SDHD,bsA1,bsA,41,1,Homo-Pan
SDHD,bsA1,bsA,34,1,Primate
SDHD,bsA1,bsA,39,0.994954,Great Ape
SDHD,bsA1,bsA,35,1,Haplorhine
SDK1,bsA1,bsA,12,0.998872,Human
SDK1,bsA1,bsA,41,0.998872,Homo-Pan
SDK1,bsA1,bsA,34,0.998404,Primate
SDK1,bsA1,bsA,39,0.998872,Great Ape
SDK1,bsA1,bsA,35,1,Haplorhine
SDK2,bsA1,bsA,12,0.997743,Human
SDK2,bsA1,bsA,41,0.996808,Homo-Pan
SDK2,bsA1,bsA,34,0.996615,Primate
SDK2,bsA1,bsA,39,0.998872,Great Ape
SDK2,bsA1,bsA,35,1,Haplorhine
SDR16C5,bsA1,bsA,12,0.998404,Human
SDR16C5,bsA1,bsA,41,1,Homo-Pan
SDR16C5,bsA1,bsA,34,1,Primate
SDR16C5,bsA1,bsA,39,0.993718,Great Ape
SDR16C5,bsA1,bsA,35,0.746753,Haplorhine
SDR39U1,bsA1,bsA,12,1,Human
SDR39U1,bsA1,bsA,41,1,Homo-Pan
SDR39U1,bsA1,bsA,34,1,Primate
SDR39U1,bsA1,bsA,39,1,Great Ape
SDR39U1,bsA1,bsA,35,0.638498,Haplorhine
SDR42E1,bsA1,bsA,12,0.787311,Human
SDR42E1,bsA1,bsA,41,1,Homo-Pan
SDR42E1,bsA1,bsA,34,1,Primate
SDR42E1,bsA1,bsA,39,1,Great Ape
SDR42E1,bsA1,bsA,35,1,Haplorhine
SDR42E2,bsA1,bsA,12,1,Human
SDR42E2,bsA1,bsA,41,1,Homo-Pan
SDR42E2,bsA1,bsA,34,1,Primate
SDR42E2,bsA1,bsA,39,0.988274,Great Ape
SDR42E2,bsA1,bsA,35,1,Haplorhine
SDR9C7,bsA1,bsA,12,0.770465,Human
SDR9C7,bsA1,bsA,41,0.469856,Homo-Pan
SDR9C7,bsA1,bsA,34,0.493508,Primate
SDR9C7,bsA1,bsA,39,1,Great Ape
SDR9C7,bsA1,bsA,35,0.707083,Haplorhine
SDS,bsA1,bsA,12,0.998872,Human
SDS,bsA1,bsA,41,1,Homo-Pan
SDS,bsA1,bsA,34,0.845162,Primate
SDS,bsA1,bsA,39,1,Great Ape
SDS,bsA1,bsA,35,1,Haplorhine
SDSL,bsA1,bsA,12,1,Human
SDSL,bsA1,bsA,41,1,Homo-Pan
SDSL,bsA1,bsA,34,1,Primate
SDSL,bsA1,bsA,39,1,Great Ape
SDSL,bsA1,bsA,35,1,Haplorhine
SEBOX,bsA1,bsA,12,1,Human
SEBOX,bsA1,bsA,41,0.993044,Homo-Pan
SEBOX,bsA1,bsA,34,0.991863,Primate
SEBOX,bsA1,bsA,39,0.761979,Great Ape
SEBOX,bsA1,bsA,35,0.994029,Haplorhine
SEC11A,bsA1,bsA,12,1,Human
SEC11A,bsA1,bsA,41,1,Homo-Pan
SEC11A,bsA1,bsA,34,1,Primate
SEC11A,bsA1,bsA,39,1,Great Ape
SEC11A,bsA1,bsA,35,1,Haplorhine
SEC11C,bsA1,bsA,12,1,Human
SEC11C,bsA1,bsA,41,1,Homo-Pan
SEC11C,bsA1,bsA,34,1,Primate
SEC11C,bsA1,bsA,39,0.990973,Great Ape
SEC11C,bsA1,bsA,35,1,Haplorhine
SEC13,bsA1,bsA,12,0.488964,Human
SEC13,bsA1,bsA,41,1,Homo-Pan
SEC13,bsA1,bsA,34,1,Primate
SEC13,bsA1,bsA,39,1,Great Ape
SEC13,bsA1,bsA,35,1,Haplorhine
SEC14L1,bsA1,bsA,12,0.998872,Human
SEC14L1,bsA1,bsA,41,1,Homo-Pan
SEC14L1,bsA1,bsA,34,1,Primate
SEC14L1,bsA1,bsA,39,1,Great Ape
SEC14L1,bsA1,bsA,35,1,Haplorhine
SEC14L2,bsA1,bsA,12,1,Human
SEC14L2,bsA1,bsA,41,1,Homo-Pan
SEC14L2,bsA1,bsA,34,0.998872,Primate
SEC14L2,bsA1,bsA,39,1,Great Ape
SEC14L2,bsA1,bsA,35,1,Haplorhine
SEC14L3,bsA1,bsA,12,0.650102,Human
SEC14L3,bsA1,bsA,41,1,Homo-Pan
SEC14L3,bsA1,bsA,34,1,Primate
SEC14L3,bsA1,bsA,39,0.997015,Great Ape
SEC14L3,bsA1,bsA,35,1,Haplorhine
SEC14L4,bsA1,bsA,12,1,Human
SEC14L4,bsA1,bsA,41,1,Homo-Pan
SEC14L4,bsA1,bsA,34,1,Primate
SEC14L4,bsA1,bsA,39,1,Great Ape
SEC14L4,bsA1,bsA,35,1,Haplorhine
SEC14L5,bsA1,bsA,12,0.923034,Human
SEC14L5,bsA1,bsA,41,0.998046,Homo-Pan
SEC14L5,bsA1,bsA,34,0.025728,Primate
SEC14L5,bsA1,bsA,39,1,Great Ape
SEC14L5,bsA1,bsA,35,1,Haplorhine
SEC14L6,bsA1,bsA,10,1,Human
SEC14L6,bsA1,bsA,39,0.994589,Homo-Pan
SEC14L6,bsA1,bsA,37,1,Great Ape
SEC14L6,bsA1,bsA,32,1,Primate
SEC14L6,bsA1,bsA,33,0.997236,Haplorhine
SEC16A,bsA1,bsA,12,0.99323,Human
SEC16A,bsA1,bsA,41,0.998872,Homo-Pan
SEC16A,bsA1,bsA,34,0.033175,Primate
SEC16A,bsA1,bsA,39,0.936138,Great Ape
SEC16A,bsA1,bsA,35,1,Haplorhine
SEC16B,bsA1,bsA,12,0.014732,Human
SEC16B,bsA1,bsA,41,1,Homo-Pan
SEC16B,bsA1,bsA,34,0.998872,Primate
SEC16B,bsA1,bsA,39,1,Great Ape
SEC16B,bsA1,bsA,35,0.998404,Haplorhine
SEC22A,bsA1,bsA,12,1,Human
SEC22A,bsA1,bsA,41,1,Homo-Pan
SEC22A,bsA1,bsA,34,1,Primate
SEC22A,bsA1,bsA,39,1,Great Ape
SEC22A,bsA1,bsA,35,1,Haplorhine
SEC22B,bsA1,bsA,12,1,Human
SEC22B,bsA1,bsA,33,1,Primate
SEC22B,bsA1,bsA,40,1,Homo-Pan
SEC22B,bsA1,bsA,38,1,Great Ape
SEC22B,bsA1,bsA,34,1,Haplorhine
SEC22C,bsA1,bsA,12,1,Human
SEC22C,bsA1,bsA,41,1,Homo-Pan
SEC22C,bsA1,bsA,34,1,Primate
SEC22C,bsA1,bsA,39,1,Great Ape
SEC22C,bsA1,bsA,35,1,Haplorhine
SEC23A,bsA1,bsA,12,0.996432,Human
SEC23A,bsA1,bsA,41,1,Homo-Pan
SEC23A,bsA1,bsA,34,1,Primate
SEC23A,bsA1,bsA,39,0.996808,Great Ape
SEC23A,bsA1,bsA,35,1,Haplorhine
SEC23B,bsA1,bsA,12,1,Human
SEC23B,bsA1,bsA,41,1,Homo-Pan
SEC23B,bsA1,bsA,34,1,Primate
SEC23B,bsA1,bsA,39,1,Great Ape
SEC23B,bsA1,bsA,35,1,Haplorhine
SEC23IP,bsA1,bsA,12,0.748028,Human
SEC23IP,bsA1,bsA,41,0.998404,Homo-Pan
SEC23IP,bsA1,bsA,34,0.998046,Primate
SEC23IP,bsA1,bsA,39,1,Great Ape
SEC23IP,bsA1,bsA,35,1,Haplorhine
SEC24A,bsA1,bsA,12,1,Human
SEC24A,bsA1,bsA,41,0.996432,Homo-Pan
SEC24A,bsA1,bsA,34,1,Primate
SEC24A,bsA1,bsA,39,1,Great Ape
SEC24A,bsA1,bsA,35,1,Haplorhine
SEC24B,bsA1,bsA,12,0.824377,Human
SEC24B,bsA1,bsA,41,1,Homo-Pan
SEC24B,bsA1,bsA,34,1,Primate
SEC24B,bsA1,bsA,39,0.941345,Great Ape
SEC24B,bsA1,bsA,35,1,Haplorhine
SEC24C,bsA1,bsA,12,1,Human
SEC24C,bsA1,bsA,41,0.784261,Homo-Pan
SEC24C,bsA1,bsA,34,0.998872,Primate
SEC24C,bsA1,bsA,39,1,Great Ape
SEC24C,bsA1,bsA,35,0.994954,Haplorhine
SEC24D,bsA1,bsA,12,1,Human
SEC24D,bsA1,bsA,41,0.978269,Homo-Pan
SEC24D,bsA1,bsA,34,1,Primate
SEC24D,bsA1,bsA,39,1,Great Ape
SEC24D,bsA1,bsA,35,0.998872,Haplorhine
SEC31A,bsA1,bsA,12,1,Human
SEC31A,bsA1,bsA,41,0.994358,Homo-Pan
SEC31A,bsA1,bsA,34,0.510603,Primate
SEC31A,bsA1,bsA,39,0.997477,Great Ape
SEC31A,bsA1,bsA,35,0.866611,Haplorhine
SEC31B,bsA1,bsA,12,0.998046,Human
SEC31B,bsA1,bsA,41,1,Homo-Pan
SEC31B,bsA1,bsA,34,1,Primate
SEC31B,bsA1,bsA,39,1,Great Ape
SEC31B,bsA1,bsA,35,1,Haplorhine
SEC61A1,bsA1,bsA,32,1,Primate
SEC61A1,bsA1,bsA,12,1,Human
SEC61A1,bsA1,bsA,39,1,Homo-Pan
SEC61A1,bsA1,bsA,37,1,Great Ape
SEC61A1,bsA1,bsA,33,0.998872,Haplorhine
SEC61A2,bsA1,bsA,12,0.994589,Human
SEC61A2,bsA1,bsA,41,1,Homo-Pan
SEC61A2,bsA1,bsA,34,1,Primate
SEC61A2,bsA1,bsA,39,1,Great Ape
SEC61A2,bsA1,bsA,35,1,Haplorhine
SEC61B,bsA1,bsA,12,1,Human
SEC61B,bsA1,bsA,41,1,Homo-Pan
SEC61B,bsA1,bsA,34,0.610629,Primate
SEC61B,bsA1,bsA,39,1,Great Ape
SEC61B,bsA1,bsA,35,1,Haplorhine
SEC61G,bsA1,bsA,12,1,Human
SEC61G,bsA1,bsA,41,1,Homo-Pan
SEC61G,bsA1,bsA,34,1,Primate
SEC61G,bsA1,bsA,39,1,Great Ape
SEC61G,bsA1,bsA,35,1,Haplorhine
SEC62,bsA1,bsA,12,1,Human
SEC62,bsA1,bsA,41,1,Homo-Pan
SEC62,bsA1,bsA,34,0.998872,Primate
SEC62,bsA1,bsA,39,1,Great Ape
SEC62,bsA1,bsA,35,0.984529,Haplorhine
SEC63,bsA1,bsA,12,0.996615,Human
SEC63,bsA1,bsA,41,0.995778,Homo-Pan
SEC63,bsA1,bsA,34,1,Primate
SEC63,bsA1,bsA,39,0.516781,Great Ape
SEC63,bsA1,bsA,35,1,Haplorhine
SECISBP2,bsA1,bsA,12,1,Human
SECISBP2,bsA1,bsA,41,1,Homo-Pan
SECISBP2,bsA1,bsA,34,1,Primate
SECISBP2,bsA1,bsA,39,1,Great Ape
SECISBP2,bsA1,bsA,35,1,Haplorhine
SECISBP2L,bsA1,bsA,12,1,Human
SECISBP2L,bsA1,bsA,41,0.998872,Homo-Pan
SECISBP2L,bsA1,bsA,34,0.648363,Primate
SECISBP2L,bsA1,bsA,39,0.997236,Great Ape
SECISBP2L,bsA1,bsA,35,0.986366,Haplorhine
SECTM1,bsA1,bsA,8,1,Human
SECTM1,bsA1,bsA,31,1,Homo-Pan
SECTM1,bsA1,bsA,29,0.506327,Great Ape
SECTM1,bsA1,bsA,25,1,Haplorhine
SEH1L,bsA1,bsA,12,0.739358,Human
SEH1L,bsA1,bsA,40,1,Homo-Pan
SEH1L,bsA1,bsA,33,0.986043,Primate
SEH1L,bsA1,bsA,38,1,Great Ape
SEH1L,bsA1,bsA,34,0.996615,Haplorhine
SEL1L,bsA1,bsA,12,0.998872,Human
SEL1L,bsA1,bsA,41,1,Homo-Pan
SEL1L,bsA1,bsA,34,0.993044,Primate
SEL1L,bsA1,bsA,39,0.997236,Great Ape
SEL1L,bsA1,bsA,35,0.998046,Haplorhine
SEL1L2,bsA1,bsA,12,1,Human
SEL1L2,bsA1,bsA,41,0.558944,Homo-Pan
SEL1L2,bsA1,bsA,34,1,Primate
SEL1L2,bsA1,bsA,39,1,Great Ape
SEL1L2,bsA1,bsA,35,1,Haplorhine
SEL1L3,bsA1,bsA,12,0.998872,Human
SEL1L3,bsA1,bsA,41,0.996615,Homo-Pan
SEL1L3,bsA1,bsA,34,1,Primate
SEL1L3,bsA1,bsA,39,0.755289,Great Ape
SEL1L3,bsA1,bsA,35,1,Haplorhine
SELE,bsA1,bsA,12,1,Human
SELE,bsA1,bsA,41,1,Homo-Pan
SELE,bsA1,bsA,34,0.998404,Primate
SELE,bsA1,bsA,39,1,Great Ape
SELE,bsA1,bsA,35,1,Haplorhine
SELENBP1,bsA1,bsA,12,0.678927,Human
SELENBP1,bsA1,bsA,41,1,Homo-Pan
SELENBP1,bsA1,bsA,34,0.118756,Primate
SELENBP1,bsA1,bsA,39,1,Great Ape
SELENBP1,bsA1,bsA,35,1,Haplorhine
SELENOF,bsA1,bsA,12,1,Human
SELENOF,bsA1,bsA,41,1,Homo-Pan
SELENOF,bsA1,bsA,34,1,Primate
SELENOF,bsA1,bsA,39,1,Great Ape
SELENOF,bsA1,bsA,35,0.998046,Haplorhine
SELENOH,bsA1,bsA,12,1,Human
SELENOH,bsA1,bsA,41,1,Homo-Pan
SELENOH,bsA1,bsA,34,0.969395,Primate
SELENOH,bsA1,bsA,39,1,Great Ape
SELENOH,bsA1,bsA,35,0.998872,Haplorhine
SELENOI,bsA1,bsA,12,1,Human
SELENOI,bsA1,bsA,41,0.996808,Homo-Pan
SELENOI,bsA1,bsA,34,1,Primate
SELENOI,bsA1,bsA,39,1,Great Ape
SELENOI,bsA1,bsA,35,1,Haplorhine
SELENOK,bsA1,bsA,12,1,Human
SELENOK,bsA1,bsA,41,1,Homo-Pan
SELENOK,bsA1,bsA,34,1,Primate
SELENOK,bsA1,bsA,39,0.997477,Great Ape
SELENOK,bsA1,bsA,35,1,Haplorhine
SELENOM,bsA1,bsA,12,1,Human
SELENOM,bsA1,bsA,41,1,Homo-Pan
SELENOM,bsA1,bsA,34,1,Primate
SELENOM,bsA1,bsA,39,1,Great Ape
SELENOM,bsA1,bsA,35,1,Haplorhine
SELENON,bsA1,bsA,12,0.998872,Human
SELENON,bsA1,bsA,41,0.998404,Homo-Pan
SELENON,bsA1,bsA,34,1,Primate
SELENON,bsA1,bsA,39,1,Great Ape
SELENON,bsA1,bsA,35,0.772752,Haplorhine
SELENOO,bsA1,bsA,12,1,Human
SELENOO,bsA1,bsA,41,1,Homo-Pan
SELENOO,bsA1,bsA,34,1,Primate
SELENOO,bsA1,bsA,39,1,Great Ape
SELENOO,bsA1,bsA,35,1,Haplorhine
SELENOP,bsA1,bsA,12,0.998872,Human
SELENOP,bsA1,bsA,41,0.47201,Homo-Pan
SELENOP,bsA1,bsA,34,1,Primate
SELENOP,bsA1,bsA,39,0.982484,Great Ape
SELENOP,bsA1,bsA,35,0.783058,Haplorhine
SELENOS,bsA1,bsA,12,1,Human
SELENOS,bsA1,bsA,41,1,Homo-Pan
SELENOS,bsA1,bsA,34,0.909335,Primate
SELENOS,bsA1,bsA,39,1,Great Ape
SELENOS,bsA1,bsA,35,1,Haplorhine
SELENOT,bsA1,bsA,12,1,Human
SELENOT,bsA1,bsA,41,1,Homo-Pan
SELENOT,bsA1,bsA,34,1,Primate
SELENOT,bsA1,bsA,39,0.984447,Great Ape
SELENOT,bsA1,bsA,35,1,Haplorhine
SELENOV,bsA1,bsA,11,1,Human
SELENOV,bsA1,bsA,39,0.528324,Homo-Pan
SELENOV,bsA1,bsA,38,0.218425,Great Ape
SELENOV,bsA1,bsA,33,0.736929,Primate
SELENOV,bsA1,bsA,34,0.656447,Haplorhine
SELENOW,bsA1,bsA,12,1,Human
SELENOW,bsA1,bsA,39,1,Homo-Pan
SELENOW,bsA1,bsA,32,1,Primate
SELENOW,bsA1,bsA,37,1,Great Ape
SELENOW,bsA1,bsA,33,1,Haplorhine
SELL,bsA1,bsA,12,1,Human
SELL,bsA1,bsA,41,1,Homo-Pan
SELL,bsA1,bsA,34,1,Primate
SELL,bsA1,bsA,39,1,Great Ape
SELL,bsA1,bsA,35,1,Haplorhine
SELP,bsA1,bsA,12,0.998404,Human
SELP,bsA1,bsA,41,0.9879,Homo-Pan
SELP,bsA1,bsA,34,0.998872,Primate
SELP,bsA1,bsA,39,1,Great Ape
SELP,bsA1,bsA,35,1,Haplorhine
SELPLG,bsA1,bsA,12,1,Human
SELPLG,bsA1,bsA,41,1,Homo-Pan
SELPLG,bsA1,bsA,34,0.541199,Primate
SELPLG,bsA1,bsA,39,0.457681,Great Ape
SELPLG,bsA1,bsA,35,1,Haplorhine
SEM1,bsA1,bsA,12,1,Human
SEM1,bsA1,bsA,41,1,Homo-Pan
SEM1,bsA1,bsA,34,1,Primate
SEM1,bsA1,bsA,39,1,Great Ape
SEM1,bsA1,bsA,35,1,Haplorhine
SEMA3A,bsA1,bsA,12,0.990228,Human
SEMA3A,bsA1,bsA,41,0.350561,Homo-Pan
SEMA3A,bsA1,bsA,34,1,Primate
SEMA3A,bsA1,bsA,39,0.996091,Great Ape
SEMA3A,bsA1,bsA,35,0.996808,Haplorhine
SEMA3B,bsA1,bsA,12,0.861527,Human
SEMA3B,bsA1,bsA,41,1,Homo-Pan
SEMA3B,bsA1,bsA,34,1,Primate
SEMA3B,bsA1,bsA,39,0.98361,Great Ape
SEMA3B,bsA1,bsA,35,1,Haplorhine
SEMA3C,bsA1,bsA,12,1,Human
SEMA3C,bsA1,bsA,41,1,Homo-Pan
SEMA3C,bsA1,bsA,34,1,Primate
SEMA3C,bsA1,bsA,39,1,Great Ape
SEMA3C,bsA1,bsA,35,0.998404,Haplorhine
SEMA3D,bsA1,bsA,12,1,Human
SEMA3D,bsA1,bsA,41,0.997015,Homo-Pan
SEMA3D,bsA1,bsA,34,1,Primate
SEMA3D,bsA1,bsA,39,0.997236,Great Ape
SEMA3D,bsA1,bsA,35,1,Haplorhine
SEMA3E,bsA1,bsA,12,0.998046,Human
SEMA3E,bsA1,bsA,41,0.997477,Homo-Pan
SEMA3E,bsA1,bsA,34,1,Primate
SEMA3E,bsA1,bsA,39,0.998872,Great Ape
SEMA3E,bsA1,bsA,35,0.857887,Haplorhine
SEMA3F,bsA1,bsA,12,0.734938,Human
SEMA3F,bsA1,bsA,41,0.997743,Homo-Pan
SEMA3F,bsA1,bsA,34,1,Primate
SEMA3F,bsA1,bsA,39,1,Great Ape
SEMA3F,bsA1,bsA,35,0.998046,Haplorhine
SEMA3G,bsA1,bsA,12,0.998404,Human
SEMA3G,bsA1,bsA,41,1,Homo-Pan
SEMA3G,bsA1,bsA,34,1,Primate
SEMA3G,bsA1,bsA,39,1,Great Ape
SEMA3G,bsA1,bsA,35,1,Haplorhine
SEMA4A,bsA1,bsA,12,0.998872,Human
SEMA4A,bsA1,bsA,41,1,Homo-Pan
SEMA4A,bsA1,bsA,34,0.344761,Primate
SEMA4A,bsA1,bsA,39,0.998404,Great Ape
SEMA4A,bsA1,bsA,35,1,Haplorhine
SEMA4B,bsA1,bsA,12,1,Human
SEMA4B,bsA1,bsA,41,1,Homo-Pan
SEMA4B,bsA1,bsA,34,1,Primate
SEMA4B,bsA1,bsA,39,1,Great Ape
SEMA4B,bsA1,bsA,35,1,Haplorhine
SEMA4C,bsA1,bsA,12,1,Human
SEMA4C,bsA1,bsA,41,1,Homo-Pan
SEMA4C,bsA1,bsA,34,0.998872,Primate
SEMA4C,bsA1,bsA,39,1,Great Ape
SEMA4C,bsA1,bsA,35,1,Haplorhine
SEMA4D,bsA1,bsA,12,1,Human
SEMA4D,bsA1,bsA,41,0.998046,Homo-Pan
SEMA4D,bsA1,bsA,34,0.722779,Primate
SEMA4D,bsA1,bsA,39,0.998404,Great Ape
SEMA4D,bsA1,bsA,35,0.998872,Haplorhine
SEMA4F,bsA1,bsA,12,1,Human
SEMA4F,bsA1,bsA,41,1,Homo-Pan
SEMA4F,bsA1,bsA,34,1,Primate
SEMA4F,bsA1,bsA,39,0.998872,Great Ape
SEMA4F,bsA1,bsA,35,1,Haplorhine
SEMA4G,bsA1,bsA,12,0.994358,Human
SEMA4G,bsA1,bsA,41,1,Homo-Pan
SEMA4G,bsA1,bsA,34,1,Primate
SEMA4G,bsA1,bsA,39,0.987847,Great Ape
SEMA4G,bsA1,bsA,35,1,Haplorhine
SEMA5A,bsA1,bsA,12,1,Human
SEMA5A,bsA1,bsA,41,1,Homo-Pan
SEMA5A,bsA1,bsA,34,0.997015,Primate
SEMA5A,bsA1,bsA,39,0.935221,Great Ape
SEMA5A,bsA1,bsA,35,0.912995,Haplorhine
SEMA5B,bsA1,bsA,12,1,Human
SEMA5B,bsA1,bsA,41,0.996091,Homo-Pan
SEMA5B,bsA1,bsA,34,1,Primate
SEMA5B,bsA1,bsA,39,0.991556,Great Ape
SEMA5B,bsA1,bsA,35,1,Haplorhine
SEMA6A,bsA1,bsA,12,1,Human
SEMA6A,bsA1,bsA,41,1,Homo-Pan
SEMA6A,bsA1,bsA,34,1,Primate
SEMA6A,bsA1,bsA,39,0.996432,Great Ape
SEMA6A,bsA1,bsA,35,0.840545,Haplorhine
SEMA6B,bsA1,bsA,12,0.998404,Human
SEMA6B,bsA1,bsA,41,0.997743,Homo-Pan
SEMA6B,bsA1,bsA,34,1,Primate
SEMA6B,bsA1,bsA,39,1,Great Ape
SEMA6B,bsA1,bsA,35,1,Haplorhine
SEMA6C,bsA1,bsA,12,0.693265,Human
SEMA6C,bsA1,bsA,41,0.998046,Homo-Pan
SEMA6C,bsA1,bsA,34,1,Primate
SEMA6C,bsA1,bsA,39,1,Great Ape
SEMA6C,bsA1,bsA,35,1,Haplorhine
SEMA6D,bsA1,bsA,12,0.998046,Human
SEMA6D,bsA1,bsA,41,1,Homo-Pan
SEMA6D,bsA1,bsA,34,0.996615,Primate
SEMA6D,bsA1,bsA,39,0.995213,Great Ape
SEMA6D,bsA1,bsA,35,0.996808,Haplorhine
SEMA7A,bsA1,bsA,12,0.998872,Human
SEMA7A,bsA1,bsA,41,1,Homo-Pan
SEMA7A,bsA1,bsA,34,0.003286,Primate
SEMA7A,bsA1,bsA,39,1,Great Ape
SEMA7A,bsA1,bsA,35,1,Haplorhine
SEMG1,bsA1,bsA,11,0.78584,Human
SEMG1,bsA1,bsA,39,1,Homo-Pan
SEMG1,bsA1,bsA,32,0.996615,Primate
SEMG1,bsA1,bsA,37,1,Great Ape
SEMG1,bsA1,bsA,33,0.000809,Haplorhine
SEMG2,bsA1,bsA,11,1,Human
SEMG2,bsA1,bsA,38,0.996432,Homo-Pan
SEMG2,bsA1,bsA,31,0.136831,Primate
SEMG2,bsA1,bsA,36,0.39558,Great Ape
SEMG2,bsA1,bsA,32,0.996091,Haplorhine
SENP1,bsA1,bsA,12,1,Human
SENP1,bsA1,bsA,41,0.998404,Homo-Pan
SENP1,bsA1,bsA,34,1,Primate
SENP1,bsA1,bsA,39,0.998872,Great Ape
SENP1,bsA1,bsA,35,1,Haplorhine
SENP2,bsA1,bsA,12,0.723724,Human
SENP2,bsA1,bsA,41,0.998872,Homo-Pan
SENP2,bsA1,bsA,34,0.884311,Primate
SENP2,bsA1,bsA,39,1,Great Ape
SENP2,bsA1,bsA,35,0.802844,Haplorhine
SENP3,bsA1,bsA,12,1,Human
SENP3,bsA1,bsA,41,1,Homo-Pan
SENP3,bsA1,bsA,34,1,Primate
SENP3,bsA1,bsA,39,0.983151,Great Ape
SENP3,bsA1,bsA,35,1,Haplorhine
SENP5,bsA1,bsA,12,0.996808,Human
SENP5,bsA1,bsA,41,1,Homo-Pan
SENP5,bsA1,bsA,34,1,Primate
SENP5,bsA1,bsA,39,0.434117,Great Ape
SENP5,bsA1,bsA,35,0.997477,Haplorhine
SENP6,bsA1,bsA,12,0.987385,Human
SENP6,bsA1,bsA,41,0.490887,Homo-Pan
SENP6,bsA1,bsA,34,0.995348,Primate
SENP6,bsA1,bsA,39,0.995082,Great Ape
SENP6,bsA1,bsA,35,0.539715,Haplorhine
SENP7,bsA1,bsA,12,1,Human
SENP7,bsA1,bsA,41,1,Homo-Pan
SENP7,bsA1,bsA,34,1,Primate
SENP7,bsA1,bsA,39,1,Great Ape
SENP7,bsA1,bsA,35,1,Haplorhine
SENP8,bsA1,bsA,12,1,Human
SENP8,bsA1,bsA,41,1,Homo-Pan
SENP8,bsA1,bsA,34,1,Primate
SENP8,bsA1,bsA,39,1,Great Ape
SENP8,bsA1,bsA,35,0.997743,Haplorhine
SEPHS1,bsA1,bsA,12,0.70155,Human
SEPHS1,bsA1,bsA,41,1,Homo-Pan
SEPHS1,bsA1,bsA,34,1,Primate
SEPHS1,bsA1,bsA,39,1,Great Ape
SEPHS1,bsA1,bsA,35,1,Haplorhine
SEPHS2,bsA1,bsA,12,1,Human
SEPHS2,bsA1,bsA,41,1,Homo-Pan
SEPHS2,bsA1,bsA,34,1,Primate
SEPHS2,bsA1,bsA,39,0.998872,Great Ape
SEPHS2,bsA1,bsA,35,1,Haplorhine
SEPSECS,bsA1,bsA,12,1,Human
SEPSECS,bsA1,bsA,41,1,Homo-Pan
SEPSECS,bsA1,bsA,34,0.814561,Primate
SEPSECS,bsA1,bsA,39,1,Great Ape
SEPSECS,bsA1,bsA,35,1,Haplorhine
SEPTIN1,bsA1,bsA,12,1,Human
SEPTIN1,bsA1,bsA,41,1,Homo-Pan
SEPTIN1,bsA1,bsA,34,1,Primate
SEPTIN1,bsA1,bsA,39,1,Great Ape
SEPTIN1,bsA1,bsA,35,0.998872,Haplorhine
SEPTIN10,bsA1,bsA,12,0.44229,Human
SEPTIN10,bsA1,bsA,41,1,Homo-Pan
SEPTIN10,bsA1,bsA,34,1,Primate
SEPTIN10,bsA1,bsA,39,1,Great Ape
SEPTIN10,bsA1,bsA,35,1,Haplorhine
SEPTIN11,bsA1,bsA,12,1,Human
SEPTIN11,bsA1,bsA,41,1,Homo-Pan
SEPTIN11,bsA1,bsA,34,0.317695,Primate
SEPTIN11,bsA1,bsA,39,1,Great Ape
SEPTIN11,bsA1,bsA,35,1,Haplorhine
SEPTIN12,bsA1,bsA,12,1,Human
SEPTIN12,bsA1,bsA,41,0.525572,Homo-Pan
SEPTIN12,bsA1,bsA,34,1,Primate
SEPTIN12,bsA1,bsA,39,1,Great Ape
SEPTIN12,bsA1,bsA,35,1,Haplorhine
SEPTIN2,bsA1,bsA,12,1,Human
SEPTIN2,bsA1,bsA,41,1,Homo-Pan
SEPTIN2,bsA1,bsA,34,1,Primate
SEPTIN2,bsA1,bsA,39,1,Great Ape
SEPTIN2,bsA1,bsA,35,1,Haplorhine
SEPTIN3,bsA1,bsA,12,1,Human
SEPTIN3,bsA1,bsA,41,0.997236,Homo-Pan
SEPTIN3,bsA1,bsA,34,0.743362,Primate
SEPTIN3,bsA1,bsA,39,1,Great Ape
SEPTIN3,bsA1,bsA,35,0.998872,Haplorhine
SEPTIN4,bsA1,bsA,12,0.805792,Human
SEPTIN4,bsA1,bsA,41,0.443361,Homo-Pan
SEPTIN4,bsA1,bsA,34,0.992021,Primate
SEPTIN4,bsA1,bsA,39,1,Great Ape
SEPTIN4,bsA1,bsA,35,0.461753,Haplorhine
SEPTIN5,bsA1,bsA,12,1,Human
SEPTIN5,bsA1,bsA,41,1,Homo-Pan
